endpoint,p,r,g,u_A,u_B,scenario,total_expected_cost_ceiling
report_hypothetical,0.6,0.8,0.6,0.22,0.22,equal,247.98720000000003
report_hypothetical,0.6,0.8,0.6,0.22,0.42000000000000004,differential,94.98432000000003
report_hypothetical,0.6,0.8,1,0.22,0.22,equal,120.0
report_hypothetical,0.6,0.8,1,0.22,0.42000000000000004,differential,-25.440000000000055
report_hypothetical,0.6,0.8,0,0.23,0.23,equal,454.512
report_hypothetical,0.6,0.8,0,0.23,0.43000000000000005,differential,287.9832
report_hypothetical,0.6,0.8,0.3,0.23,0.23,equal,354.1584
report_hypothetical,0.6,0.8,0.3,0.23,0.43000000000000005,differential,193.95623999999998
report_hypothetical,0.6,0.8,0.6,0.23,0.23,equal,253.80479999999977
report_hypothetical,0.6,0.8,0.6,0.23,0.43000000000000005,differential,99.92927999999984
report_hypothetical,0.6,0.8,1,0.23,0.23,equal,120.00000000000023
report_hypothetical,0.6,0.8,1,0.23,0.43000000000000005,differential,-25.439999999999827
report_hypothetical,0.6,0.8,0,0.24,0.24,equal,469.056
report_hypothetical,0.6,0.8,0,0.24,0.44,differential,300.3456
report_hypothetical,0.6,0.8,0.3,0.24,0.24,equal,364.3392
report_hypothetical,0.6,0.8,0.3,0.24,0.44,differential,202.60992
report_hypothetical,0.6,0.8,0.6,0.24,0.24,equal,259.62239999999997
report_hypothetical,0.6,0.8,0.6,0.24,0.44,differential,104.8742400000001
report_hypothetical,0.6,0.8,1,0.24,0.24,equal,120.0
report_hypothetical,0.6,0.8,1,0.24,0.44,differential,-25.439999999999827
report_hypothetical,0.6,0.8,0,0.25,0.25,equal,483.6
report_hypothetical,0.6,0.8,0,0.25,0.45,differential,312.708
report_hypothetical,0.6,0.8,0.3,0.25,0.25,equal,374.52
report_hypothetical,0.6,0.8,0.3,0.25,0.45,differential,211.2636
report_hypothetical,0.6,0.8,0.6,0.25,0.25,equal,265.43999999999994
report_hypothetical,0.6,0.8,0.6,0.25,0.45,differential,109.81919999999991
report_hypothetical,0.6,0.8,1,0.25,0.25,equal,120.0
report_hypothetical,0.6,0.8,1,0.25,0.45,differential,-25.440000000000055
report_hypothetical,0.6,0.8,0,0.26,0.26,equal,498.14400000000006
report_hypothetical,0.6,0.8,0,0.26,0.46,differential,325.0704000000001
report_hypothetical,0.6,0.8,0.3,0.26,0.26,equal,384.7008000000001
report_hypothetical,0.6,0.8,0.3,0.26,0.46,differential,219.91728000000012
report_hypothetical,0.6,0.8,0.6,0.26,0.26,equal,271.2576
report_hypothetical,0.6,0.8,0.6,0.26,0.46,differential,114.76415999999995
report_hypothetical,0.6,0.8,1,0.26,0.26,equal,120.00000000000045
report_hypothetical,0.6,0.8,1,0.26,0.46,differential,-25.4399999999996
report_hypothetical,0.6,0.8,0,0.27,0.27,equal,512.6879999999999
report_hypothetical,0.6,0.8,0,0.27,0.47000000000000003,differential,337.43279999999993
report_hypothetical,0.6,0.8,0.3,0.27,0.27,equal,394.88159999999993
report_hypothetical,0.6,0.8,0.3,0.27,0.47000000000000003,differential,228.57096
report_hypothetical,0.6,0.8,0.6,0.27,0.27,equal,277.0752
report_hypothetical,0.6,0.8,0.6,0.27,0.47000000000000003,differential,119.70911999999998
report_hypothetical,0.6,0.8,1,0.27,0.27,equal,120.00000000000023
report_hypothetical,0.6,0.8,1,0.27,0.47000000000000003,differential,-25.439999999999827
report_hypothetical,0.6,0.8,0,0.28,0.28,equal,527.2320000000001
report_hypothetical,0.6,0.8,0,0.28,0.48000000000000004,differential,349.79520000000014
report_hypothetical,0.6,0.8,0.3,0.28,0.28,equal,405.0624
report_hypothetical,0.6,0.8,0.3,0.28,0.48000000000000004,differential,237.22464000000002
report_hypothetical,0.6,0.8,0.6,0.28,0.28,equal,282.8928000000001
report_hypothetical,0.6,0.8,0.6,0.28,0.48000000000000004,differential,124.65408000000002
report_hypothetical,0.6,0.8,1,0.28,0.28,equal,120.0
report_hypothetical,0.6,0.8,1,0.28,0.48000000000000004,differential,-25.440000000000055
report_hypothetical,0.6,0.8,0,0.29,0.29,equal,541.776
report_hypothetical,0.6,0.8,0,0.29,0.49,differential,362.1576
report_hypothetical,0.6,0.8,0.3,0.29,0.29,equal,415.2432
report_hypothetical,0.6,0.8,0.3,0.29,0.49,differential,245.87832000000003
report_hypothetical,0.6,0.8,0.6,0.29,0.29,equal,288.71039999999994
report_hypothetical,0.6,0.8,0.6,0.29,0.49,differential,129.59903999999983
report_hypothetical,0.6,0.8,1,0.29,0.29,equal,120.0
report_hypothetical,0.6,0.8,1,0.29,0.49,differential,-25.440000000000055
report_hypothetical,0.6,0.8,0,0.3,0.3,equal,556.32
report_hypothetical,0.6,0.8,0,0.3,0.5,differential,374.52000000000004
report_hypothetical,0.6,0.8,0.3,0.3,0.3,equal,425.4240000000001
report_hypothetical,0.6,0.8,0.3,0.3,0.5,differential,254.53200000000015
report_hypothetical,0.6,0.8,0.6,0.3,0.3,equal,294.528
report_hypothetical,0.6,0.8,0.6,0.3,0.5,differential,134.5440000000001
report_hypothetical,0.6,0.8,1,0.3,0.3,equal,120.00000000000023
report_hypothetical,0.6,0.8,1,0.3,0.5,differential,-25.439999999999827
report_hypothetical,0.6,0.8,0,0.31,0.31,equal,570.864
report_hypothetical,0.6,0.8,0,0.31,0.51,differential,386.8824
report_hypothetical,0.6,0.8,0.3,0.31,0.31,equal,435.60480000000007
report_hypothetical,0.6,0.8,0.3,0.31,0.51,differential,263.18568000000005
report_hypothetical,0.6,0.8,0.6,0.31,0.31,equal,300.3455999999999
report_hypothetical,0.6,0.8,0.6,0.31,0.51,differential,139.4889599999999
report_hypothetical,0.6,0.8,1,0.31,0.31,equal,120.0
report_hypothetical,0.6,0.8,1,0.31,0.51,differential,-25.440000000000055
report_hypothetical,0.6,0.8,0,0.32,0.32,equal,585.4079999999999
report_hypothetical,0.6,0.8,0,0.32,0.52,differential,399.24479999999994
report_hypothetical,0.6,0.8,0.3,0.32,0.32,equal,445.78559999999993
report_hypothetical,0.6,0.8,0.3,0.32,0.52,differential,271.83935999999994
report_hypothetical,0.6,0.8,0.6,0.32,0.32,equal,306.16319999999973
report_hypothetical,0.6,0.8,0.6,0.32,0.52,differential,144.43391999999972
report_hypothetical,0.6,0.8,1,0.32,0.32,equal,119.99999999999977
report_hypothetical,0.6,0.8,1,0.32,0.52,differential,-25.440000000000055
report_hypothetical,0.6,0.8,0,0.33,0.33,equal,599.9520000000001
report_hypothetical,0.6,0.8,0,0.33,0.53,differential,411.60720000000015
report_hypothetical,0.6,0.8,0.3,0.33,0.33,equal,455.9663999999999
report_hypothetical,0.6,0.8,0.3,0.33,0.53,differential,280.49303999999995
report_hypothetical,0.6,0.8,0.6,0.33,0.33,equal,311.9807999999998
report_hypothetical,0.6,0.8,0.6,0.33,0.53,differential,149.37887999999998
report_hypothetical,0.6,0.8,1,0.33,0.33,equal,120.00000000000023
report_hypothetical,0.6,0.8,1,0.33,0.53,differential,-25.4399999999996
report_hypothetical,0.6,0.8,0,0.34,0.34,equal,614.4960000000001
report_hypothetical,0.6,0.8,0,0.34,0.54,differential,423.9696
report_hypothetical,0.6,0.8,0.3,0.34,0.34,equal,466.1472000000001
report_hypothetical,0.6,0.8,0.3,0.34,0.54,differential,289.1467200000002
report_hypothetical,0.6,0.8,0.6,0.34,0.34,equal,317.79840000000013
report_hypothetical,0.6,0.8,0.6,0.34,0.54,differential,154.32384000000002
report_hypothetical,0.6,0.8,1,0.34,0.34,equal,120.0
report_hypothetical,0.6,0.8,1,0.34,0.54,differential,-25.440000000000055
report_hypothetical,0.6,0.8,0,0.35,0.35,equal,629.04
report_hypothetical,0.6,0.8,0,0.35,0.55,differential,436.332
report_hypothetical,0.6,0.8,0.3,0.35,0.35,equal,476.328
report_hypothetical,0.6,0.8,0.3,0.35,0.55,differential,297.8004000000001
report_hypothetical,0.6,0.8,0.6,0.35,0.35,equal,323.61599999999976
report_hypothetical,0.6,0.8,0.6,0.35,0.55,differential,159.26879999999983
report_hypothetical,0.6,0.8,1,0.35,0.35,equal,120.0
report_hypothetical,0.6,0.8,1,0.35,0.55,differential,-25.440000000000055
report_hypothetical,0.6,0.8,0,0.36,0.36,equal,643.584
report_hypothetical,0.6,0.8,0,0.36,0.56,differential,448.6943999999999
report_hypothetical,0.6,0.8,0.3,0.36,0.36,equal,486.50880000000006
report_hypothetical,0.6,0.8,0.3,0.36,0.56,differential,306.45408
report_hypothetical,0.6,0.8,0.6,0.36,0.36,equal,329.43360000000007
report_hypothetical,0.6,0.8,0.6,0.36,0.56,differential,164.2137600000001
report_hypothetical,0.6,0.8,1,0.36,0.36,equal,120.0
report_hypothetical,0.6,0.8,1,0.36,0.56,differential,-25.440000000000055
report_hypothetical,0.6,0.8,0,0.37,0.37,equal,658.128
report_hypothetical,0.6,0.8,0,0.37,0.5700000000000001,differential,461.0568
report_hypothetical,0.6,0.8,0.3,0.37,0.37,equal,496.68960000000004
report_hypothetical,0.6,0.8,0.3,0.37,0.5700000000000001,differential,315.10776
report_hypothetical,0.6,0.8,0.6,0.37,0.37,equal,335.2511999999999
report_hypothetical,0.6,0.8,0.6,0.37,0.5700000000000001,differential,169.1587199999999
report_hypothetical,0.6,0.8,1,0.37,0.37,equal,120.0
report_hypothetical,0.6,0.8,1,0.37,0.5700000000000001,differential,-25.4399999999996
report_hypothetical,0.6,0.8,0,0.38,0.38,equal,672.672
report_hypothetical,0.6,0.8,0,0.38,0.5800000000000001,differential,473.41920000000005
report_hypothetical,0.6,0.8,0.3,0.38,0.38,equal,506.8703999999999
report_hypothetical,0.6,0.8,0.3,0.38,0.5800000000000001,differential,323.7614399999999
report_hypothetical,0.6,0.8,0.6,0.38,0.38,equal,341.0688
report_hypothetical,0.6,0.8,0.6,0.38,0.5800000000000001,differential,174.10368000000017
report_hypothetical,0.6,0.8,1,0.38,0.38,equal,120.0
report_hypothetical,0.6,0.8,1,0.38,0.5800000000000001,differential,-25.440000000000055
report_hypothetical,0.6,0.8,0,0.39,0.39,equal,687.216
report_hypothetical,0.6,0.8,0,0.39,0.5900000000000001,differential,485.7816
report_hypothetical,0.6,0.8,0.3,0.39,0.39,equal,517.0511999999998
report_hypothetical,0.6,0.8,0.3,0.39,0.5900000000000001,differential,332.4151199999998
report_hypothetical,0.6,0.8,0.6,0.39,0.39,equal,346.88639999999987
report_hypothetical,0.6,0.8,0.6,0.39,0.5900000000000001,differential,179.04863999999975
report_hypothetical,0.6,0.8,1,0.39,0.39,equal,120.00000000000045
report_hypothetical,0.6,0.8,1,0.39,0.5900000000000001,differential,-25.4399999999996
report_hypothetical,0.6,0.8,0,0.4,0.4,equal,701.76
report_hypothetical,0.6,0.8,0,0.4,0.6000000000000001,differential,498.14399999999995
report_hypothetical,0.6,0.8,0.3,0.4,0.4,equal,527.2320000000001
report_hypothetical,0.6,0.8,0.3,0.4,0.6000000000000001,differential,341.0688
report_hypothetical,0.6,0.8,0.6,0.4,0.4,equal,352.70399999999995
report_hypothetical,0.6,0.8,0.6,0.4,0.6000000000000001,differential,183.99360000000001
report_hypothetical,0.6,0.8,1,0.4,0.4,equal,120.0
report_hypothetical,0.6,0.8,1,0.4,0.6000000000000001,differential,-25.4399999999996
report_hypothetical,0.6,0.8,0,0.41,0.41,equal,716.3040000000001
report_hypothetical,0.6,0.8,0,0.41,0.61,differential,510.50640000000016
report_hypothetical,0.6,0.8,0.3,0.41,0.41,equal,537.4128000000001
report_hypothetical,0.6,0.8,0.3,0.41,0.61,differential,349.72248000000013
report_hypothetical,0.6,0.8,0.6,0.41,0.41,equal,358.52160000000003
report_hypothetical,0.6,0.8,0.6,0.41,0.61,differential,188.93856000000005
report_hypothetical,0.6,0.8,1,0.41,0.41,equal,120.0
report_hypothetical,0.6,0.8,1,0.41,0.61,differential,-25.440000000000055
report_hypothetical,0.6,0.8,0,0.42,0.42,equal,730.848
report_hypothetical,0.6,0.8,0,0.42,0.62,differential,522.8688000000001
report_hypothetical,0.6,0.8,0.3,0.42,0.42,equal,547.5936
report_hypothetical,0.6,0.8,0.3,0.42,0.62,differential,358.37616
report_hypothetical,0.6,0.8,0.6,0.42,0.42,equal,364.3392000000001
